fecha_registro,planta,caudal_entrada_m3_d,DBO_entrada_mg_L,DBO_salida_mg_L,eficiencia_remocion_DBO_pct
2025-07-01,Planta Norte,4545,432,79.0,81.71
2025-07-02,Planta Norte,5860,235,32.0,86.38
2025-07-03,Planta Centro,5124,396,64.9,83.61
2025-07-04,Planta Norte,4519,265,24.0,90.94
2025-07-05,Planta Centro,7975,209,35.5,83.01
2025-07-05,Planta Centro,4604,186,17.7,90.48
2025-07-05,Planta Norte,5884,331,46.7,85.89
2025-07-05,Planta Sur,4340,260,42.8,83.54
2025-07-06,Planta Norte,5394,317,33.4,89.46
2025-07-07,Planta Norte,4169,169,11.1,93.43
2025-07-07,Planta Norte,6080,305,37.1,87.84
2025-07-07,Planta Sur,3961,250,25.2,89.92
2025-07-08,Planta Sur,3154,333,49.0,85.29
2025-07-08,Planta Sur,5284,229,32.9,85.63
2025-07-08,Planta Norte,4957,130,25.1,80.69
2025-07-09,Planta Sur,3238,90,10.2,88.67
2025-07-09,Planta Sur,4411,355,49.7,86.0
2025-07-10,Planta Centro,6465,201,31.9,84.13
2025-07-10,Planta Norte,7696,239,32.9,86.23
2025-07-11,Planta Norte,7773,371,36.3,90.22
2025-07-13,Planta Centro,6303,366,52.6,85.63
2025-07-13,Planta Sur,5747,389,46.2,88.12
2025-07-13,Planta Centro,4283,481,48.1,90.0
2025-07-15,Planta Sur,3627,131,14.6,88.85
2025-07-15,Planta Norte,6986,455,45.1,90.09
2025-07-16,Planta Norte,6281,293,38.9,86.72
2025-07-17,Planta Sur,3322,254,33.7,86.73
2025-07-17,Planta Norte,3185,185,33.9,81.68
2025-07-18,Planta Sur,5807,138,23.5,82.97
2025-07-19,Planta Centro,6285,300,26.4,91.2
2025-07-20,Planta Norte,5634,133,24.7,81.43
2025-07-20,Planta Centro,6942,280,32.5,88.39
2025-07-20,Planta Norte,9205,196,36.5,81.38
2025-07-21,Planta Norte,4374,307,28.0,90.88
2025-07-22,Planta Sur,7691,384,56.9,85.18
2025-07-22,Planta Centro,5101,176,29.2,83.41
2025-07-22,Planta Norte,4341,270,20.5,92.41
2025-07-22,Planta Sur,4863,292,46.8,83.97
2025-07-24,Planta Centro,4464,305,49.7,83.7
2025-07-24,Planta Centro,2976,318,28.9,90.91
2025-07-24,Planta Norte,5227,214,21.3,90.05
2025-07-24,Planta Norte,6637,338,30.5,90.98
2025-07-25,Planta Centro,4478,288,27.5,90.45
2025-07-26,Planta Norte,5755,318,45.2,85.79
2025-07-27,Planta Sur,5103,236,33.0,86.02
2025-07-28,Planta Sur,3990,408,58.5,85.66
2025-07-30,Planta Centro,5521,167,11.4,93.17
2025-07-30,Planta Centro,5933,333,45.0,86.49
2025-07-30,Planta Centro,3075,304,36.8,87.89
2025-07-31,Planta Centro,5182,311,54.2,82.57
2025-07-31,Planta Norte,4133,195,33.3,82.92
2025-08-01,Planta Sur,5889,231,19.9,91.39
2025-08-01,Planta Centro,6035,305,48.2,84.2
2025-08-03,Planta Centro,4346,176,26.1,85.17
2025-08-04,Planta Norte,5899,230,31.8,86.17
2025-08-04,Planta Sur,2950,223,22.5,89.91
2025-08-05,Planta Norte,4169,266,49.0,81.58
2025-08-05,Planta Centro,3450,385,48.0,87.53
2025-08-05,Planta Sur,7551,177,25.4,85.65
2025-08-07,Planta Norte,5016,205,39.2,80.88
2025-08-08,Planta Norte,4404,375,61.8,83.52
2025-08-08,Planta Norte,6020,253,24.6,90.28
2025-08-09,Planta Centro,6607,227,25.6,88.72
2025-08-09,Planta Sur,4966,232,20.2,91.29
2025-08-11,Planta Centro,1500,381,55.0,85.56
2025-08-12,Planta Centro,4376,315,26.4,91.62
2025-08-13,Planta Centro,4915,285,47.6,83.3
2025-08-13,Planta Centro,1981,326,39.9,87.76
2025-08-14,Planta Norte,6566,335,39.3,88.27
2025-08-14,Planta Sur,2728,172,15.0,91.28
2025-08-14,Planta Centro,5176,221,25.6,88.42
2025-08-14,Planta Centro,6995,362,47.0,87.02
2025-08-17,Planta Centro,5652,294,25.2,91.43
2025-08-17,Planta Centro,3057,357,37.6,89.47
2025-08-17,Planta Sur,6562,271,40.0,85.24
2025-08-18,Planta Norte,5075,229,26.3,88.52
2025-08-18,Planta Sur,5814,222,20.6,90.72
2025-08-18,Planta Sur,8894,344,46.5,86.48
2025-08-19,Planta Norte,7072,370,57.3,84.51
2025-08-20,Planta Sur,6077,366,46.9,87.19
2025-08-20,Planta Norte,6839,241,21.9,90.91
2025-08-21,Planta Centro,6477,274,41.7,84.78
2025-08-22,Planta Centro,4768,432,62.1,85.62
2025-08-23,Planta Centro,5789,266,30.4,88.57
2025-08-23,Planta Norte,4495,288,21.3,92.6
2025-08-24,Planta Sur,5302,329,56.0,82.98
2025-08-24,Planta Centro,4038,262,46.1,82.4
2025-08-24,Planta Sur,4214,394,40.7,89.67
2025-08-24,Planta Sur,2101,329,34.9,89.39
2025-08-25,Planta Norte,5633,213,39.5,81.46
2025-08-25,Planta Sur,5173,255,41.6,83.69
2025-08-26,Planta Norte,4196,261,37.1,85.79
2025-08-26,Planta Centro,4187,295,43.5,85.25
2025-08-26,Planta Sur,5288,366,45.8,87.49
2025-08-27,Planta Centro,5626,253,40.5,83.99
2025-08-27,Planta Sur,2540,343,31.5,90.82
2025-08-28,Planta Centro,3312,179,13.4,92.51
2025-08-29,Planta Centro,7523,316,34.4,89.11
2025-08-29,Planta Centro,6562,202,27.4,86.44
2025-08-30,Planta Centro,6339,252,20.9,91.71
2025-08-31,Planta Centro,5662,402,70.2,82.54
2025-08-31,Planta Sur,5182,324,43.6,86.54
2025-09-01,Planta Norte,5765,412,61.2,85.15
2025-09-02,Planta Norte,5728,205,36.6,82.15
2025-09-03,Planta Sur,3658,269,25.9,90.37
2025-09-03,Planta Norte,4955,374,40.9,89.06
2025-09-03,Planta Norte,4356,301,47.8,84.12
2025-09-03,Planta Norte,7150,289,49.0,83.04
2025-09-06,Planta Norte,4284,210,25.0,88.1
2025-09-06,Planta Centro,6803,326,32.1,90.15
2025-09-06,Planta Norte,5524,300,38.6,87.13
2025-09-06,Planta Centro,2724,262,21.5,91.79
2025-09-06,Planta Sur,3219,356,41.3,88.4
2025-09-07,Planta Centro,4940,271,46.3,82.92
2025-09-07,Planta Sur,5336,322,26.8,91.68
2025-09-08,Planta Centro,7245,338,46.6,86.21
2025-09-08,Planta Norte,6497,270,26.5,90.19
2025-09-09,Planta Centro,5371,286,31.1,89.13
2025-09-10,Planta Norte,4612,166,16.5,90.06
2025-09-11,Planta Centro,6231,323,36.8,88.61
2025-09-11,Planta Norte,1992,214,26.4,87.66
2025-09-11,Planta Sur,4888,360,55.8,84.5
2025-09-12,Planta Norte,6388,330,37.6,88.61
2025-09-12,Planta Centro,5510,414,37.7,90.89
2025-09-12,Planta Norte,6046,186,26.2,85.91
2025-09-14,Planta Centro,5613,344,43.3,87.41
2025-09-14,Planta Centro,4238,204,16.2,92.06
2025-09-14,Planta Sur,3806,90,11.8,86.89
